ItemTekstMan,Item,Focus,QuestAns,ItemTekst,Version,CorrAns,questions,ChangeWord2ndpres,Cleft,ChangeWord1thpres,type,Ynans,ID,n,ChangeResponse_raw,QuestResponse.rt_mean,QuestResponse.rt_raw,QuestResponse.rt_std,YNResp.corr_mean,YNResp.corr_raw,YNResp.corr_std,YNResp.keys_raw,YNResp.rt_mean,YNResp.rt_raw,YNResp.rt_std,changeResponse.corr_mean,changeResponse.corr_raw,changeResponse.corr_std,changeResponse.rt_mean,changeResponse.rt_raw,changeResponse.rt_std,quest_response_raw,order,Education,Participant,gender,frameRate,Age,List,date,reading language,expName,handedness,Native language
Min farfar havde virke som sagfører en overgang,8,n,n/a,Min farfar havde virke som sagfører en periode,d,periode,0,overgang,n,periode,item,1,8d,1,'',0.014832366,0.014832366,0,0,0,0,'0',3.331110239,3.331110239,0,0,0,0,0.026369398,0.026369398,0,'',17,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det er snedkere du har brug for til det byggeri,9,y,Du,Det er tømrere du har brug for til det byggeri,a,tømrere,Hvem har brug for nogen?,snedkere,y,tømrere,item,1,9a,1,u't\xf8mrere',15.60738373,15.60738373,0,1,1,0,'1',0.681492507,0.681492507,0,1,1,0,6.213310719,6.213310719,0,'du',21,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det var finessen man betalte for hos det firma,10,n,n/a,Det var finessen man betalte for hos det selskab,b,selskab,0,firma,y,selskab,item,1,10b,1,'',0.017654326,0.017654326,0,0,0,0,'0',3.714648008,3.714648008,0,0,0,0,0.028131079,0.028131079,0,'',3,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Jeg så den nye indsigt som det helt store ved at gå i skole,11,y,n/a,Jeg så den nye viden som det helt store ved at gå i skole,c,viden,0,indsigt,n,viden,item,1,11c,1,'viden',0.020242164,0.020242164,0,1,1,0,'1',1.878952026,1.878952026,0,1,1,0,1.365112662,1.365112662,0,'',14,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Man skal lære den her nymodens pædagogik alle steder i systemet,12,n,n/a,Man skal lære den her nymodens pædagogik alle steder i samfundet,d,samfundet,0,systemet,n,samfundet,item,1,12d,1,'samfundet',0.014729738,0.014729738,0,1,1,0,'1',2.843348265,2.843348265,0,1,1,0,2.114684582,2.114684582,0,'',22,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det var geografi jeg interesserede mig for som barn,13,y,n/a,Det var biologi jeg interesserede mig for som barn,a,biologi,0,geografi,y,biologi,item,1,13a,1,'biologi',0.025427463,0.025427463,0,1,1,0,'1',1.28059268,1.28059268,0,1,1,0,2.298294306,2.298294306,0,'',19,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det var den tjans jeg var omhyggelig med på lageret,14,n,n/a,Det var den tjans jeg var omhyggelig med på fabrikken,b,fabrikken,0,lageret,y,fabrikken,item,1,14b,1,'lageret',0.017792232,0.017792232,0,1,1,0,'1',2.7469697,2.7469697,0,0,0,0,1.315026164,1.315026164,0,'',36,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
De har en eller anden barriere over for at læse aviser,15,y,n/a,De har en eller anden blokering over for at læse aviser,c,blokering,0,barriere,n,blokering,item,1,15c,1,'blokering',0.030158311,0.030158311,0,1,1,0,'1',1.313518524,1.313518524,0,1,1,0,2.064833164,2.064833164,0,'',34,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Jeg beskæftigede mig med antropologi i afhandlingen,16,n,n/a,Jeg beskæftigede mig med antropologi i specialet,d,specialet,0,afhandlingen,n,specialet,item,1,16d,1,'specialet',0.01871204,0.01871204,0,1,1,0,'1',2.631868839,2.631868839,0,1,1,0,2.031493425,2.031493425,0,'',13,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
Det er en utrolig fleksibel stilling jeg har med hensyn til flekstid og hjemmearbejde,17,y,n/a,Det er en utrolig fleksibel ansættelse jeg har med hensyn til flekstid og hjemmearbejde,a,ansættelse,0,stilling,y,ansættelse,item,1,17a,1,'',0.014693176,0.014693176,0,0,0,0,'0',7.935722828,7.935722828,0,0,0,0,0.036169127,0.036169127,0,'',4,Historie,1,mand,60.02417872,22,1,2018_nov_07_1033,Dansk,working program med print of rt og print med builderevent og forståelse 7.4,venstre,Dansk
